Item Number;Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7
1;0.59;-0.03;0.02;0.17;0.13;-0.15;-0.05
2;0.79;0.02;0.01;0.01;-0.04;-0.05;0.09
3;0.32;-0.01;-0.07;0.63;0.08;-0.07;-0.06
4;0.58;-0.11;0.16;0.02;0.12;-0.04;-0.14
5;0.15;-0.26;-0.08;0.7;0.07;-0.01;0.11
6;0.75;-0.01;-0.02;0.02;0.07;-0.1;-0.04
7;0.45;0.03;-0.02;0.23;0.02;-0.14;-0.32
8;0.49;-0.35;0.06;-0.07;0.11;0.07;-0.08
9;0.47;-0.17;0.03;0.12;0.07;0.01;-0.37
10;0.38;-0.18;0.15;0.19;0.08;0.02;-0.39
11;0.51;-0.05;-0.07;0.19;0.29;0;-0.15
12;0.46;-0.12;0.16;0.08;0.18;-0.01;-0.27
13;0.56;-0.21;0.04;-0.01;0.05;0.01;-0.26
14;0.11;-0.78;0.09;0.07;0.12;-0.01;0.1
15;0.22;-0.14;-0.05;-0.07;0.76;0.08;-0.01
16;0.02;-0.03;0.79;-0.01;0.02;0.06;-0.04
17;0.01;-0.03;0.02;0.09;0.07;-0.8;-0.03
18;-0.12;0.01;0.07;-0.03;0.92;-0.11;0.03
19;0.4;0.04;0.39;-0.09;0.18;-0.33;0.21
20;0.02;0.05;0.79;0.01;-0.09;-0.2;0.08
21;-0.04;-0.82;0.06;0.07;0.12;-0.1;0.03
22;-0.11;-0.04;0.82;-0.03;0.1;0.07;-0.04
23;0.28;-0.01;0.16;0.06;0.14;-0.53;0.19
24;0.04;-0.12;-0.01;0.01;0.12;-0.78;-0.02
25;0.18;0.42;0.1;0.27;0.06;0.29;0.34
26;0.06;-0.83;-0.1;0.18;-0.04;-0.06;0.16
27;0.08;-0.69;0.06;0.2;0.12;-0.02;-0.06
28;0.1;-0.19;0.01;-0.06;0.81;-0.01;-0.01
29;0.05;-0.81;0.03;0.08;0.16;-0.03;0.03
30;-0.16;0.08;0.02;0.05;0.94;-0.08;-0.01
31;0.21;-0.05;0.24;0.13;-0.05;-0.01;-0.39
32;-0.05;-0.02;0.03;0.75;0;-0.06;-0.26
33;-0.19;-0.25;0.14;0.76;-0.02;-0.08;0.03
34;0.14;-0.03;0.14;0.22;0.21;0.08;-0.45
35;0.11;0.15;-0.04;0.07;0.1;-0.03;-0.65
36;-0.04;0.2;0.15;0.31;0.01;-0.22;-0.48
37;0.3;0.01;0.14;-0.12;0.03;0.05;-0.39
38;0.07;-0.09;0.3;0.16;0.09;0.04;-0.48